id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories,types,mechanisms,description,image
15695,Exiled,1998,3,5,1,2,4,1,1,,Religious ,Roll / Spin and Move,"Exiled: It's dangerous in the desert...

From the back of the game box:

Should you choose to accept this mission, you will be thrown into a race against your opponents, traveling through the ancient lands of the Old Testament.  Adventures and excitement are certain as you successfully work to complete your journeys!

Maintain a successful roll of the die, listen, and respond strategically in order to reach your goal.  Exercise caution at all times!  You may be faced with challenging and exciting obstacles that can only be overcome if you have listened to the details given to you by your opponents or provided to you on your destination cards.  Beware!  One cunning move on the part of your opponent can send you into exile, delaying the completion of your mission!

",http://cf.geekdo-images.com/3WFIZJzoYGsFp11trVsxe1Sie40=/fit-in/200x150/pic65026.jpg
15696,Desert Fox,1981,6.0625,8,3,0,0,0,0,Wargames,Wargame World War II ,Hex-and-Counter,"This is Epoch's game on the campaign's of Rommel in North Africa during World War 2.

",http://cf.geekdo-images.com/KNZXX2drZyjmJl8Hs7BRqqtr4xY=/fit-in/200x150/pic66912.jpg
15697,Empire Campaign System,1984,4.91667,6,5,2,4,180,180,Wargames,Miniatures Napoleonic Wargame ,Dice RollingHex-and-CounterSecret Unit Deployment,"[From the box description]
The Empire Campaign System is a complete strategic-operational simulation of the Napoleonic campaigns and is intended to tie in with the Empire 3rd edition operational-tactical miniatures rules. The Empire Campaign System is designed so that the strategic-operational phases of Napoleonic warfare are played on a map and the actual battle resolution is primarily represented by miniatures.

Expands:

    Empire (third edition)




",http://cf.geekdo-images.com/tAUCAOT6NEpKj4AQy9TnvXJ0GsM=/fit-in/200x150/pic65150.jpg
15698,Larry-Boy's Get Rid of the Fib! Game,1998,5.28182,11,1,2,4,0,0,,Card Game Children's Game ,Set Collection,"Essentially an Old Maid variant where one card - the unmatched Fib card - is what you try to pass on to other players.

From the Box

A little fib turns into a big problem for Junior Asparagus, and only one man can help him - Bumblyburg's own superhero - Larry-Boy! Now you can help Larry-Boy get rid of the Fib in this funfilled Veggietales card game based on the classic Old Maid

",http://cf.geekdo-images.com/iJvrvilvzHEMsz3ta2P7qx7xlKI=/fit-in/200x150/pic235046.jpg
15702,Samas,2004,0,0,0,2,2,10,10,Abstract,Abstract Strategy Racing ,Rock-Paper-Scissors,"Samas is a simple abstract 2-player racing game that incorporates a Paper-Scissors-Stone  mechanic to determine which player is allowed to move on the track towards the finishing space.

The board consists of a single track with 9 hollows. Each player places their Sama-stone on the second hole from their baseline. Both players also get 13 stones in their color, and 2  joker-stones. All these stones are kept hidden behind the player's screens.

Every turn each player secretly selects 0 to 3 regular stones, or a joker-stone. These are then simultaneously revealed, the Sama-stone of the player with the winning selection moves one place towards the opponent's side, and the stone-selection of both players are removed from play.

If both players reveal the same stone-selection, then these stones are still removed from play, but neither Sama-stone gets moved forwards. If a player runs out of stones then the opponent's Sama-stone moves 1 space forwards for each regular stone still in this player's reserve.

So what makes a winning selection? A selection of regular stones gets beaten by a higher amount of regular stones. A joker-stone beats any amount of regular stones. However, if a joker-stone is played when the opponent decided to play no stones at all, than it in turn is beaten.

Play continues until one player reaches the opposite side of the board, or until a player runs out of stones to play. The winner is predictably the player who reaches, or gets closest to, the other side of the board.

Publishing history: Together with Trio Trio, Samas was the first of Frank's designs to get published (in 2004) in the deluxe wooden format that typifies the Clemens Gerhards range. Up until then Frank Stark had been making mainly card games, Zoom being the only boardgame that had found a (different) publisher. However, since then Frank Stark's boardgame designs have become regular additions to the Clemens Gerhards stable, all in the same high-quality make-up that they do so well.

",http://cf.geekdo-images.com/LUGf_hmxMmJg1aZZ6rt-yKWmXQ4=/fit-in/200x150/pic65013.jpg
15703,Dreadnought: Return to the Dreadnoughts Age!,1986,5.75,4,2,1,2,360,360,Wargames,Nautical Wargame World War I ,Hex-and-Counter,"SGB-18 Dreadnaught (1986) (JPY 3800)

Subtitled Return to the Dreadnoughts Age!

Two half-sized maps of all-blue, large hex water terrain. Two countersheets (308) with Panzerblitz-sized counters. Two identical single-sided PAC with 8 small charts each. A rulebook (28 pgs) with 8 scenarios ranging from 1917 to 1924 (with a SF one in 3325 (not kidding!). The rules only look to be about 5-6 pages long.

From what I have been told, this is an extremely popular game I Japan. The auction prices are all rather high, even for punched games. This might have something to do with the easy rules and only a few charts. Each counter has 6 numbers and they are back printed. The back side has two numbers reduced by one vs. the units front side. There is unit facing and maybe a line movement rule. No record keeping or markers.

",http://cf.geekdo-images.com/nItFZnYGRmfM7G4CD1BIXdfkpo4=/fit-in/200x150/pic70258.jpg
15704,Seventh Armored Division  Self Defense Force Series-01” and “Red Typhoon ‘95,1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15705,"The Battle of Bautzen: Napoleon vs. Wittgenstein, 20-21 May 1813",1987,5,3,0,1,2,360,360,Wargames,Napoleonic Wargame ,Hex-and-Counter,"SGB-23 The Battle of Bautzen (1987) (JPY 4800)

Subtitled Napoleon vs. Wittgenstein, 20-21 May 1813.

The Battle of Bautzen has one 17x22 map, 252 counters, two PAC (identical) and a 16 pg rulebook.

BoB looks very much like a NAW system game with some changes to the combat rules. The counters have three numbers-attack, defense (?) and movement. Leaders have two numbers, similar in placement to NAW games. The CRT is the biggest change however. It uses a 2-12 roll and the results are far more deadly to both sides. There are some morale results as well. Overall, a very simple-looking game on a totally neglected battle.

",http://cf.geekdo-images.com/Rl_nKLrx2VtZxaoRiyLoMuqBZH8=/fit-in/200x150/pic90357.jpg
15706,Sun of Austerlitz,1987,6.625,8,0,1,2,360,360,Wargames,Napoleonic Wargame ,Chit-Pull SystemHex-and-Counter,"SGB-27 Sun of Austerlitz (1987) (JPY 4800)

Subtitled Napoleon vs. Kutusov 2 December 1805

One half-sized map, 252 counters, 2 identical PAC, one rulebook (24 pgs) of which only 11 pages are actual rules. Looks to be one scenario.

Unit sizes seem to be regiments with hourly turns. No map scale given. Combat units look to have combat-morale-movement numbers. The CRT has several results that looks morale related and not just step losses. Units have reduced-strength sides and there are D markers.

This game is republished on Game Journal #33 in 2009.  In the magazine, there are many new articles about the game and the battle and the interview with the designer, Tomotsugu Morino.

",http://cf.geekdo-images.com/ZjjpaTy35jZuOaWtdYHi5dNqDFQ=/fit-in/200x150/pic64991.jpg
15707,Fifth Division Self Defense Force Series-03 & Soviet Coming from our Lost Territory,1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
